_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question2__left_side,question2__right_side,question3__left_side,question3__right_side,seeside,group,image_url,question1,question2,question2__left_side_gold,question2__right_side_gold,question3,question3__left_side_gold,question3__right_side_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
811064372,11/11/2015 19:36:35,false,1798061478,,11/11/2015 19:34:38,false,neodev,0.8,33119802,VEN,"","",190.206.4.136,,0,,4,Right,11,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064372,11/13/2015 11:47:03,false,1800072672,,11/13/2015 11:46:36,false,neodev,0.75,31305123,GRC,01,Alexandroúpoli,2.85.136.147,,0,,0,Right,11,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064372,11/13/2015 13:08:31,false,1800136447,,11/13/2015 13:06:52,false,hiving,0.8,33048733,ITA,09,Guidizzolo,77.43.46.117,,0,,4,Right,11,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064372,11/13/2015 14:10:15,false,1800183708,,11/13/2015 14:07:11,false,clixsense,0.7692,34309395,TUR,34,Istanbul,85.102.238.131,,0,,0,Right,11,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/11/2015 19:17:58,false,1798048554,,11/11/2015 19:15:41,false,neodev,0.7692,34272987,VEN,23,Maracaibo,190.77.5.222,0,0,0,10,"left
Right",11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/11/2015 19:26:54,false,1798054771,,11/11/2015 19:23:21,false,neodev,0.8,33119802,VEN,"","",190.206.4.136,,0,,0,Right,11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/13/2015 01:14:39,false,1799487398,,11/13/2015 01:12:16,false,clixsense,0.7692,34309395,TUR,34,Istanbul,85.102.238.131,0,0,0,0,"left
Right",11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/13/2015 01:33:21,false,1799514942,,11/13/2015 01:26:32,false,neodev,0.8,29674710,VEN,25,Caracas,186.167.242.147,0,0,0,9,"left
Right",11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/13/2015 02:04:01,false,1799537221,,11/13/2015 01:59:13,false,tremorgames,0.8333,34035616,CAN,ON,Pickering,174.114.215.196,,0,,0,Right,11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
811064373,11/13/2015 04:58:50,false,1799655601,,11/13/2015 04:57:42,false,clixsense,0.8,21665495,CAN,"","",24.105.69.70,,0,,0,Right,11,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there outdoor dinning tables?,Count the number of outdoor tables for dining on each side of the street,,,Count visible street furniture and other items on each side of the street,,,,Presence of outdoor dining,Outdoor dining tables,Pieces of Street Furniture & other street items,"Outdoor dining: dining tables and seating located mostly or completely outside. Even if there are no patrons, there is outdoor dining as long as the tables and chairs are present|If it looks as if the dining could be in operation at some point during the day, count the presence of outdoor dining",These are tables with associated chairs or benches|Tables must be mostly or totally in the outer area,"Street furniture and other street items: only the following: tables (without associated chairs), chairs (without associated tables), vendor displays (count one per vendor), ATMs, hanging plants, benches, flower pots, parking meters, umbrellas, trash cans (public only), newspaper boxes, mailboxes, bike racks, bollards (count one per set), hydrants, flags, banners, merchandise stands, street vendors, pedestrian-scale street lights (not for cars), phone booths (one per structure), bus stops (count one per stop), and train stations (count  one per entrance)|Do not count furniture in enclosed parks, gardens, plazas, and courtyards|Record the total number if it is under 40; record “40+” if over|Do not count tables and chairs for outdoor dining|Objects such as construction materials, streetlights, parking and traffic signs, and garbage bags sitting on the curb do not count|Two tables brought together can be counted as one; more than that, count separately|If there are no chairs because they have all been moved elsewhere on the sidewalk to accommodate a party, the chairs are still associated and you can count the tables. If the chairs are stacked or if there are no chairs, count the tables as street furniture, as well as each stack of chairs"
