_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1__left_side,question1__right_side,question2__left_side,question2__right_side,seeside,group,image_url,question1,question1__left_side_gold,question1__right_side_gold,question2,question2__left_side_gold,question2__right_side_gold,question3,seeside_gold,step1,step2,step3,tip1,tip2,tip3
811068054,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,2,1,1,left\nRight,13,https://contribua.org/bairros/norte/liberdade/Rua_Severino_Pimentel__439__0.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068055,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,0.3,1,left\nRight,13,https://contribua.org/bairros/norte/liberdade/Rua_Santa_Catarina__1231__0.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068056,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,1,1,left\nRight,13,https://contribua.org/bairros/norte/liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068057,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,4,4,0.5,0.9,left\nRight,13,https://contribua.org/bairros/norte/liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068058,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,2,6,1,1,left\nRight,13,https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_90.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068059,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,1,0,1,0.3,left\nRight,13,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068060,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,0.5,0.3,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Vigario_Calixto__1201_180.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068061,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,0.5,1,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Otacilio_Nepomuceno__76_0.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068062,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,1,1,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068063,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,0,0,1,1,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Joao_Francisco_Mota__64__270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068064,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,,0,,0.6,Right,13,https://contribua.org/bairros/norte/catole/Rua_Doutor_Antonio_Telha__68__270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068065,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,1,0,1,1,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Doutor_Antonio_Telha__235_180.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068066,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,1,0,0.5,0.2,left\nRight,13,https://contribua.org/bairros/norte/catole/Rua_Aluisio_Cunha_Linha__50__270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068067,11/12/2015 19:11:53,false,1799138980,,11/12/2015 19:10:44,false,cf_internal,0.9444,34864111,BRA,17,Campina Grande,150.165.85.232,,0,,0,Right,13,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068068,11/16/2015 15:30:36,false,1802489887,,11/16/2015 15:27:47,false,clixsense,0.7333,34309395,TUR,34,Istanbul,85.102.238.131,,0,,0,Right,13,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
811068068,11/16/2015 19:48:58,false,1802790956,,11/16/2015 19:47:45,false,neodev,0.75,29439445,GRC,"","",176.92.197.84,0,,0.2,,left,13,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count visible people on each side of the street,,,Estimate the proportion of active-use buildings on each side,,,,,People,Proportion active use,,"Visible people: includes people walking, running, biking, standing, or sitting—everyone except those at outdoor dining|Count children, babies, every person ","Active use building: one in which there is frequent pedestrian traffic (more than 5 people enter/exit while you are observing the block)|Always active: parks, stores, restaurants, attached/apartment-style residential buildings, hospitals, and schools. Always inactive: construction sites, parking lots, churches, detached/single residence units, and vacant or abandoned lots|Record the proportion on the visible area (use decimal increments of 0.10)|If the building appears to be residential, look for signs that indicate people live there (mailboxes, buzzers, window treatments, etc.)",
