_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2,group,image_url,orig_question1,question1_gold,orig_question2,question2_gold,question3,step1,step2,step3,tip1,tip2,tip3
799092452,10/20/2015 14:21:54,false,1775997301,,10/20/2015 14:21:05,false,neodev,1.0,23586122,BEL,08,Roeselare,178.118.55.65,0,1,4,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092452,10/20/2015 14:25:19,false,1776001209,,10/20/2015 14:24:25,false,clixsense,1.0,9834199,ROU,14,Constanta,5.14.161.58,0,1,4,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092452,10/20/2015 14:36:27,false,1776014681,,10/20/2015 14:34:53,false,neodev,1.0,33397566,IND,02,Tirupati,61.3.14.213,0,0,4,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092453,10/20/2015 14:23:41,false,1775999128,,10/20/2015 14:23:04,false,neodev,1.0,23586122,BEL,08,Roeselare,178.118.55.65,0,0,4,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092453,10/20/2015 14:43:13,false,1776022331,,10/20/2015 14:40:08,false,neodev,1.0,33397566,IND,02,Tirupati,61.3.14.213,1,0,4,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092453,10/20/2015 15:16:30,false,1776064324,,10/20/2015 15:15:15,false,neodev,1.0,29226888,IND,02,Hyderabad,115.98.116.246,3,3,4,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092454,10/20/2015 14:07:52,false,1775982119,,10/20/2015 14:07:28,false,neodev,1.0,32074320,TUR,53,Rize,78.168.55.184,0,0,4,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092454,10/20/2015 14:09:29,false,1775983848,,10/20/2015 14:08:51,false,neodev,1.0,34668665,MKD,41,Skopje,89.205.118.40,0,0,4,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092454,10/20/2015 14:14:13,false,1775989042,,10/20/2015 14:11:09,false,elite,1.0,33018241,IDN,"","",114.79.32.207,0,0,4,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
799092455,10/20/2015 13:39:51,false,1775955432,,10/20/2015 13:38:19,false,prodege,1.0,29354735,IRL,19,Dundalk,86.45.234.53,0,0,4,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,"Count acessible courtyards, plazas, parks and gardens",,Count major landscape features,,,"Acessible Courtyards, plazas, parks and gardens",Visible/Prominent Major Landscape features,,"Courtyard: a permanent space in which people are intended and able to enter|Plaza: large, enterable open space (bigger than 15 square feet), often with art and plants, or associated with building(s)|Park: place intended for human use/recreation; often with greenery, a playground, and so forth|Garden: enterable and larger than 10 square feet|Do not count median strips, even those with seating","Major landscape features: prominent natural landscape views like bodies of water, mountain ranges, or human-made features that incorporate the natural environment; serve as natural landmarks for orientation or reference|Parks do not count as major landscape features|Record the number of distinct landscape elements you encountered on either side of the street or in the distance (prominent distant features only)|If the feature is not visible walking in the designated direction do not count",
