V1,V19
Oregon,5.88418203051e-15
New Mexico,3.72508547133e-12
ississippi,2.34058811111e-11
Washington,1.37715525409e-10
New York,2.74655883028e-10
Louisiana,1.0583743135e-09
Texas,3.13879384211e-06
Illinois,0.000905847198298
New Jersey,0.00326808502383
Michigan,0.00543585687573
South Carolina,0.0120113669036
Pennsylvania,0.0247579720736
Kentucky,0.0283717352176
Rhode Island,0.0324213816486
Maine,0.0411979856639
Alabama,0.165852938061
Nevada,0.169816403502
Ohio,0.291938859121
Arizona,0.311438055195
Florida,0.311438055195
Idaho,0.409060706071
Arkansas,0.445029632664
Montana,0.513476132651
Tennessee,0.526950402996
North Carolina,0.972328133373
Massachusetts,1.09630293839
Hawaii,1.26779044842
Missouri,1.41920913422
Wyoming,1.85157639317
Oklahoma,1.86774652941
Maryland,1.91859646236
Georgia,1.93704524191
Kansas,1.95177704927
Connecticut,1.9920400482
Colorado,1.99836034926
Utah,1.99997599649
Wisconsin,1.99998510319
Indiana,1.99999664678
Delaware,1.99999995962
Minnesota,1.99999999747
New Hampshire,1.99999999931
Vermont,1.99999999931
Virginia,1.99999999994
Iowa,2
North Dakota,2
Puerto Rico,2
Nebraska,2
South Dakota,2
California,NA
West Virginia,NA
Alaska,NA
District of Columbia,NA
