N30721+2018-09-30T11:46:44.157606+590+69047++191.35.119.168+2018-09-30T11:46:57.189814+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1355.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0738.JPG"}"+
N30722+2018-09-30T11:46:57.408878+590+69050++191.35.119.168+2018-09-30T11:47:02.680235+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0764.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG"}"+
N30723+2018-09-30T11:47:03.020447+590+69045++191.35.119.168+2018-09-30T11:47:09.390585+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1346.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0744.JPG"}"+
N30724+2018-09-30T11:47:09.604185+590+69048++191.35.119.168+2018-09-30T11:47:24.945115+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1334.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0712.JPG"}"+
N30725+2018-09-30T11:47:25.158257+590+69046++191.35.119.168+2018-09-30T11:47:38.072198+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0767.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG"}"+
N30726+2018-10-06T14:01:18.762668+590+69046++191.33.35.135+2018-10-06T14:01:38.398087+++"{"userProfile": {"live": "sim", "educ": "superior", "sex": "F"}, "question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0767.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG"}"+
N30728+2018-10-06T14:01:46.857614+590+69049++191.33.35.135+2018-10-06T14:02:12.353562+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1353.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0728.JPG"}"+
N30729+2018-10-06T14:02:13.767686+590+69043++191.33.35.135+2018-10-06T14:02:19.897075+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1336.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0677.JPG"}"+
N30730+2018-10-06T14:02:21.174080+590+69045++191.33.35.135+2018-10-06T14:02:29.792096+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1346.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0744.JPG"}"+
N30754+2018-10-10T02:58:14.985970+590+69043++191.35.120.181+2018-10-10T02:58:31.249671+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1336.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0677.JPG"}"+
N30731+2018-10-10T02:29:19.847333+590+69045+1640+189.71.13.251+2018-10-10T02:29:47.538625+++"{"userProfile": {"live": "sim", "educ": "superior", "sex": "F"}, "question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1346.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0744.JPG"}"+
N30732+2018-10-10T02:29:47.738949+590+69047+1640+189.71.13.251+2018-10-10T02:29:56.094436+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1355.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0738.JPG"}"+
N30733+2018-10-10T02:29:56.296336+590+69048+1640+189.71.13.251+2018-10-10T02:30:01.577047+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1334.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0712.JPG"}"+
N30734+2018-10-10T02:30:01.777305+590+69043+1640+189.71.13.251+2018-10-10T02:30:21.973284+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1336.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0677.JPG"}"+
N30735+2018-10-10T02:30:22.168913+590+69044+1640+189.71.13.251+2018-10-10T02:30:30.367804+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1360.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0669.JPG"}"+
N30736+2018-10-10T02:30:30.670057+590+69050+1640+189.71.13.251+2018-10-10T02:30:36.075699+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0764.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG"}"+
N30737+2018-10-10T02:30:36.265728+590+69046+1640+189.71.13.251+2018-10-10T02:30:41.330958+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0767.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG"}"+
N30738+2018-10-10T02:30:41.632905+590+69049+1640+189.71.13.251+2018-10-10T02:30:46.244879+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1353.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0728.JPG"}"+
N30741+2018-10-10T02:55:53.089887+590+69045++181.223.173.35+2018-10-10T02:56:06.145434+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1346.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0744.JPG"}"+
N30740+2018-10-10T02:55:48.248564+590+69050++181.223.173.35+2018-10-10T02:55:52.988289+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0764.JPG"}"+
N30742+2018-10-10T02:56:06.205843+590+69043++181.223.173.35+2018-10-10T02:56:14.581387+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1336.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0677.JPG"}"+
N30744+2018-10-10T02:56:25.981911+590+69046++181.223.173.35+2018-10-10T02:56:40.601457+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0731.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro B/SAM_0767.JPG"}"+
N30746+2018-10-10T02:56:48.017607+590+69044++181.223.173.35+2018-10-10T02:57:02.534431+++"{"question": "seguro", "theLess": "https://contribua.org/bairros/oeste/liberdade/Centro B/IMG_1360.JPG", "theMost": "https://contribua.org/bairros/oeste/liberdade/Centro A/SAM_0669.JPG"}"+
