_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2__left_side,question2__right_side,question3,seeside,group,image_url,orig_question1,question1_gold,question2,question2__left_side_gold,question2__right_side_gold,orig_question3,question3_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
799363947,10/28/2015 14:48:55,false,1784276078,,10/28/2015 14:47:15,false,cf_internal,1.0,34835246,BRA,17,Campina Grande,150.165.85.232,4,,0,0,Right,2,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 13:24:21,false,1775932437,,10/20/2015 13:23:05,false,clixsense,1.0,21665495,CAN,"","",24.105.69.70,0,,0,0,Right,2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 13:41:28,false,1775956386,,10/20/2015 13:39:43,false,clixsense,0.9167,33910257,RUS,"","",185.52.155.221,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 13:47:35,false,1775961551,,10/20/2015 13:45:08,false,neodev,1.0,34283618,SRB,00,Belgrade,95.180.52.239,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 13:51:14,false,1775964980,,10/20/2015 13:48:36,false,neodev,1.0,32359107,LKA,"","",61.245.173.110,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 13:57:58,false,1775971917,,10/20/2015 13:54:24,false,clixsense,1.0,7165158,IND,28,Kolkata,182.66.15.11,0,0,1,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 14:01:56,false,1775976070,,10/20/2015 13:59:09,false,neodev,1.0,33203552,IND,19,Bangalore,101.212.70.163,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 14:08:21,false,1775982588,,10/20/2015 14:05:51,false,clixsense,1.0,32978388,TUR,"","",178.233.133.97,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 14:15:24,false,1775990253,,10/20/2015 14:11:00,false,elite,0.8,31671747,BIH,01,Sarajevo,77.77.237.31,0,1,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 14:19:35,false,1775994897,,10/20/2015 14:17:26,false,neodev,1.0,32053642,GBR,H9,London,86.157.15.86,0,0,0,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
799363948,10/20/2015 14:53:36,false,1776034326,,10/20/2015 14:50:42,false,elite,1.0,33018241,IDN,"","",114.79.32.207,0,1,1,0,"left
Right",2,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of moving cars,,Count the number of parked cars on each side of the street,,,Count the number of moving bicylists,,,Number of Moving Cars,Number of Parked Cars,Number of Moving Cyclists,,,
